rank_hydrauliczny,wezel,kategoria_grafowa,betweenness_score,spadek_cisnienia_m,cisnienie_po_awarii_m,min_cisnienie_m,wystapilo_ujemne,wezly_ponizej_20m,rank_grafowy,liczba_rur_zamknietych
36,205,Ważny (Krytyczny),1297.8673202614375,0.6711,41.4003,-0.49,1,5,5,3
37,147,Mniej ważny,258.25,0.6678,41.4036,-0.5691,1,5,45,2
38,145,Mniej ważny,183.75000000000003,0.6455,41.4259,-0.5768,1,5,51,2
39,184,Ważny (Krytyczny),1203.4474789915962,0.6427,41.4287,-0.5283,1,5,8,2
40,185,Ważny (Krytyczny),1239.4474789915964,0.6342,41.4372,-0.5074,1,5,7,3
41,255,Mniej ważny,180.16666666666663,0.5896,41.4818,-0.9077,1,6,52,4
42,177,Mniej ważny,31.0,0.5499,41.5215,-0.9088,1,5,74,2
43,275,Mniej ważny,281.91111111111104,0.5347,41.5367,-0.6212,1,5,41,3
44,167,Mniej ważny,0.0,0.5176,41.5538,-0.6565,1,5,86,1
45,166,Mniej ważny,0.0,0.5174,41.554,-0.6583,1,5,87,1
46,139,Mniej ważny,92.25,0.5066,41.5648,-0.6906,1,5,69,2
47,263,Mniej ważny,94.47450980392158,0.4963,41.5751,-2.096,1,5,68,3
48,269,Mniej ważny,160.88333333333333,0.4938,41.5776,-0.7894,1,5,58,3
49,131,Mniej ważny,0.0,0.4937,41.5777,-0.6714,1,5,77,1
50,10,Mniej ważny,0.0,0.4927,41.5787,0.0,0,3,80,1
51,261,Mniej ważny,137.31101774042952,0.4887,41.5827,-0.9928,1,5,61,3
52,113,Mniej ważny,863.6212885154067,0.4779,41.5935,-0.6612,1,5,13,3
53,107,Mniej ważny,142.14439775910355,0.4772,41.5942,-0.5814,1,5,60,2
54,273,Mniej ważny,278.9420634920634,0.4648,41.6066,-0.6566,1,5,42,3
55,195,Mniej ważny,160.14126984126978,0.455,41.6164,-0.7931,1,5,59,2
56,109,Mniej ważny,174.33333333333334,0.4505,41.6208,-0.5193,1,5,57,2
57,257,Mniej ważny,119.36596638655465,0.4499,41.6215,-1.0532,1,5,63,3
58,187,Mniej ważny,772.6340336134461,0.4499,41.6215,-0.5325,1,5,18,3
59,103,Mniej ważny,97.33333333333331,0.4496,41.6218,0.0,0,5,67,2
60,183,Mniej ważny,682.6134453781514,0.4494,41.622,-0.8085,1,5,23,3
61,249,Mniej ważny,295.83333333333337,0.4476,41.6238,-0.6593,1,5,40,3
62,259,Mniej ważny,28.078571428571443,0.4401,41.6312,-0.7529,1,5,75,2
63,231,Mniej ważny,0.0,0.4379,41.6335,-0.6632,1,5,89,1
64,189,Mniej ważny,732.2467787114851,0.4335,41.6379,-0.8735,1,5,21,4
65,204,Mniej ważny,702.0007002801126,0.4329,41.6384,-0.5174,1,5,22,2
66,225,Mniej ważny,0.0,0.4231,41.6483,-0.6636,1,5,90,1
67,243,Mniej ważny,0.0,0.4214,41.65,-0.6601,1,5,92,1
68,197,Mniej ważny,412.1293183940246,0.4173,41.6541,-0.6756,1,5,37,2
69,219,Mniej ważny,0.0,0.4164,41.6549,-0.6677,1,5,88,1
70,105,Mniej ważny,132.74439775910355,0.4065,41.6649,-1.825,1,5,62,3
71,267,Mniej ważny,790.6022875816999,0.3932,41.6782,-0.8776,1,5,17,3
72,191,Mniej ważny,770.9673669467796,0.3827,41.6887,-0.5907,1,5,19,3
73,247,Mniej ważny,177.83333333333331,0.3691,41.7023,-0.6934,1,5,56,3
74,193,Ważny (Krytyczny),1063.055415499534,0.3631,41.7083,-1.0954,1,5,10,4
75,115,Ważny (Krytyczny),1147.9506069094311,0.3506,41.7208,-0.8022,1,5,9,4
76,111,Mniej ważny,528.4626517273578,0.3423,41.7291,-2.5158,1,5,32,4
77,251,Mniej ważny,85.5,0.3415,41.7299,-0.6728,1,5,73,2
78,120,Mniej ważny,923.2945845004676,0.3045,41.7669,-5.1186,1,5,12,4
79,153,Mniej ważny,12.0,0.2964,41.775,-0.6693,1,5,76,2
80,127,Mniej ważny,405.75000000000006,0.2956,41.7758,-3.5741,1,5,38,3
81,117,Mniej ważny,973.251447245566,0.2867,41.7847,-1.6419,1,5,11,3
82,253,Mniej ważny,0.0,0.2809,41.7904,-0.682,1,5,91,1
83,15,Mniej ważny,0.0,0.2344,41.837,-0.6091,1,5,79,1
84,50,Mniej ważny,0.0,-0.0069,42.0782,-0.9362,1,4,84,2
85,20,Mniej ważny,0.0,-0.3854,42.4568,-3.5531,1,4,78,2
86,181,Mniej ważny,115.5,-1.0923,43.1637,0.0,0,6,64,3
87,35,Mniej ważny,0.0,-1.4791,43.5505,0.0,0,5,81,1
88,271,Mniej ważny,188.0666666666667,-1.5241,43.5955,-0.9254,1,5,50,3
89,201,Mniej ważny,217.9026143790852,-9.2721,51.3435,0.0,0,4,47,3
90,203,Mniej ważny,0.0,-9.9026,51.974,0.0,0,3,85,1
91,179,Mniej ważny,178.49999999999997,-22.1571,64.2285,0.0,0,2,54,3
92,40,Mniej ważny,0.0,-22.8474,64.9188,0.0,0,1,83,2
