rank_hydrauliczny,rank_grafowy,wezel,status,betweenness_score,degree_score,spadek_cisnienia_m,cisnienie_po_awarii_m,liczba_rur_zamknietych,zgodnosc
46,69,139,Mniej ważny,92.25,2.0,0.5066,41.5648,2,Mniej wazny w obu
47,68,263,Mniej ważny,94.47450980392158,3.0,0.4963,41.5751,3,Mniej wazny w obu
48,58,269,Mniej ważny,160.88333333333333,3.0,0.4938,41.5776,3,Mniej wazny w obu
49,77,131,Mniej ważny,0.0,1.0,0.4937,41.5777,1,Mniej wazny w obu
50,80,10,Mniej ważny,0.0,1.0,0.4927,41.5787,1,Mniej wazny w obu
51,61,261,Mniej ważny,137.31101774042952,3.0,0.4887,41.5827,3,Mniej wazny w obu
52,13,113,Mniej ważny,863.6212885154067,3.0,0.4779,41.5935,3,Mniej wazny w obu
53,60,107,Mniej ważny,142.14439775910355,2.0,0.4772,41.5942,2,Mniej wazny w obu
54,42,273,Mniej ważny,278.9420634920634,3.0,0.4648,41.6066,3,Mniej wazny w obu
55,59,195,Mniej ważny,160.14126984126978,2.0,0.455,41.6164,2,Mniej wazny w obu
56,57,109,Mniej ważny,174.33333333333334,2.0,0.4505,41.6208,2,Mniej wazny w obu
57,63,257,Mniej ważny,119.36596638655465,3.0,0.4499,41.6215,3,Mniej wazny w obu
58,18,187,Mniej ważny,772.6340336134461,3.0,0.4499,41.6215,3,Mniej wazny w obu
59,67,103,Mniej ważny,97.33333333333331,2.0,0.4496,41.6218,2,Mniej wazny w obu
60,23,183,Mniej ważny,682.6134453781514,3.0,0.4494,41.622,3,Mniej wazny w obu
61,40,249,Mniej ważny,295.83333333333337,3.0,0.4476,41.6238,3,Mniej wazny w obu
62,75,259,Mniej ważny,28.078571428571443,2.0,0.4401,41.6312,2,Mniej wazny w obu
63,89,231,Mniej ważny,0.0,1.0,0.4379,41.6335,1,Mniej wazny w obu
64,21,189,Mniej ważny,732.2467787114851,4.0,0.4335,41.6379,4,Mniej wazny w obu
65,22,204,Mniej ważny,702.0007002801126,2.0,0.4329,41.6384,2,Mniej wazny w obu
66,90,225,Mniej ważny,0.0,1.0,0.4231,41.6483,1,Mniej wazny w obu
67,92,243,Mniej ważny,0.0,1.0,0.4214,41.65,1,Mniej wazny w obu
68,37,197,Mniej ważny,412.1293183940246,2.0,0.4173,41.6541,2,Mniej wazny w obu
69,88,219,Mniej ważny,0.0,1.0,0.4164,41.6549,1,Mniej wazny w obu
70,62,105,Mniej ważny,132.74439775910355,3.0,0.4065,41.6649,3,Mniej wazny w obu
71,17,267,Mniej ważny,790.6022875816999,3.0,0.3932,41.6782,3,Mniej wazny w obu
72,19,191,Mniej ważny,770.9673669467796,3.0,0.3827,41.6887,3,Mniej wazny w obu
73,56,247,Mniej ważny,177.83333333333331,3.0,0.3691,41.7023,3,Mniej wazny w obu
74,10,193,Ważny (Krytyczny),1063.055415499534,4.0,0.3631,41.7083,4,Tylko grafowo wazny
75,9,115,Ważny (Krytyczny),1147.9506069094311,4.0,0.3506,41.7208,4,Tylko grafowo wazny
76,32,111,Mniej ważny,528.4626517273578,4.0,0.3423,41.7291,4,Mniej wazny w obu
77,73,251,Mniej ważny,85.5,2.0,0.3415,41.7299,2,Mniej wazny w obu
78,12,120,Mniej ważny,923.2945845004676,4.0,0.3045,41.7669,4,Mniej wazny w obu
79,76,153,Mniej ważny,12.0,2.0,0.2964,41.775,2,Mniej wazny w obu
80,38,127,Mniej ważny,405.75000000000006,3.0,0.2956,41.7758,3,Mniej wazny w obu
81,11,117,Mniej ważny,973.251447245566,3.0,0.2867,41.7847,3,Mniej wazny w obu
82,91,253,Mniej ważny,0.0,1.0,0.2809,41.7904,1,Mniej wazny w obu
83,79,15,Mniej ważny,0.0,1.0,0.2344,41.837,1,Mniej wazny w obu
84,84,50,Mniej ważny,0.0,1.0,-0.0069,42.0782,2,Mniej wazny w obu
85,78,20,Mniej ważny,0.0,1.0,-0.3854,42.4568,2,Mniej wazny w obu
86,64,181,Mniej ważny,115.5,3.0,-1.0923,43.1637,3,Mniej wazny w obu
87,81,35,Mniej ważny,0.0,1.0,-1.4791,43.5505,1,Mniej wazny w obu
88,50,271,Mniej ważny,188.0666666666667,3.0,-1.5241,43.5955,3,Mniej wazny w obu
89,47,201,Mniej ważny,217.9026143790852,3.0,-9.2721,51.3435,3,Mniej wazny w obu
90,85,203,Mniej ważny,0.0,1.0,-9.9026,51.974,1,Mniej wazny w obu
91,54,179,Mniej ważny,178.49999999999997,3.0,-22.1571,64.2285,3,Mniej wazny w obu
92,83,40,Mniej ważny,0.0,1.0,-22.8474,64.9188,2,Mniej wazny w obu
